title,artist,albumTitle,bpm,key,comment,year,location
Answers Come In Dreams,"Hercules & Love Affair,Aerea Negrot",Blue Songs,115.987648,10M,"House; Nu-Disco; ethereal vocals, lush strings, hypnotic bassline, shimmering production; sophisticated dancefloor mysticism meets downtown NYC renaissance; New York, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Answers Come In Dreams.mp3
Athene,Hercules & Love Affair,Hercules & Love Affair,109.984642,9M,"House; Nu-Disco; shimmering strings, lush orchestral arrangements, pulsing bassline, euphoric builds; sophisticated underground New York dance floor energy; US, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Athene.mp3
Blind - Radio Edit,Hercules & Love Affair,Blind,118.581879,11M,"House; Nu-Disco; shimmering piano stabs, pulsing bassline, euphoric vocal hooks, analog warmth; celebratory dancefloor liberation anthem; New York, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Blind - Radio Edit.mp3
Distant Storm - Kincaid Remix,Blancmange,Distant Storm,117.999718,10M,"Synthwave; Downtempo Electronica; shimmering arpeggios, deep pulsing bass, atmospheric layers, reverb-drenched textures; moody late-night introspection meets retrofuturism; UK, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Distant Storm - Kincaid Remix.mp3
Fly On the Windscreen (Final),Depeche Mode,Black Celebration (Deluxe),92.899437,2M,"Darkwave; Gothic Synthpop; brooding bass sequences, cinematic synth layers, melancholic atmosphere; introspective post-industrial coldwave aesthetics; UK, mid-1980s.",1986,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Fly On the Windscreen (Final).mp3
Giant,The The,Soul Mining,107.843445,5D,"Alternative Rock; Post-Punk; brooding bass lines, stark drum machines, cinematic guitar textures; melancholic introspective British indie soundscape; UK, late 80s.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Giant.mp3
Halo - Goldfrapp Remix,Depeche Mode,Remixes 81>04,55.988686,7M,"Electronica; Downtempo/Trip-Hop; glacial synth textures, haunting vocals, stripped-back beats, atmospheric production; moody after-hours introspection; UK collaboration, 2000s.",2005,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Halo - Goldfrapp Remix.mp3
Hypnotized,Peaking Lights,Sea of Sand,91.001152,1M,"Dub; Lo-fi Psychedelic Dub; warped tape saturation, hypnotic basslines, hazy reverb textures, narcotic groove; blissed-out basement afterparty vibes; US West Coast, early 2010s.",2011,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Hypnotized.mp3
Monument,Depeche Mode,A Broken Frame (Deluxe),103.63781,1M,"Electronic Rock; Darkwave; brooding basslines, atmospheric synths, haunting vocals, industrial undertones; melancholic dancefloor tension with gothic elegance; UK, late 2000s alt-electronic evolution.",2013,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Monument.mp3
My Squelchy Life,Brian Eno,Nerve Net,92.470657,1M,"Ambient; Generative/Experimental; organic textures, playful sonic fragments, sparse rhythmic elements; introspective downtempo exploration for cerebral listening rooms; UK, 1990s.",1991,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/My Squelchy Life.mp3
Shopping Cart,Parallel Dance Ensemble,Possessions And Obsessions,108.999336,1M,"Downtempo; Chillwave; lush atmospheric pads, jazzy Rhodes keys, crispy vinyl drums, warm analog bass; dreamy sunset lounge vibes; California, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Shopping Cart.mp3
Tension,Vök,Tension,68.500328,3M,"Dream Pop; Downtempo Electronica; ethereal Icelandic vocals, glacial synth textures, minimal beats, atmospheric production; moody Nordic introspection meets chillwave sensuality; Iceland, mid-2010s.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Tension.mp3
Where I Wait Feat Dave Gahan - Alva Noto Reduxmodel,"Kurt Uenala,Dave Gahan,alva noto",Stella Polaris - We Are Sonneteers,99.999802,11M,"Minimal Techno; Glitch/Electronica; stark digital processing, crystalline percussion, haunting Gahan vocals over precise microsound architecture; introspective experimental electronic collaboration; Germany/UK, late 2000s.",2007,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Where I Wait Feat Dave Gahan - Alva Noto Reduxmodel.mp3
Wire Shock,Brian Eno,Nerve Net,91.088867,5M,"Ambient; Experimental Electronic; glacial textures, stuttering percussive elements, otherworldly atmosphere; introspective downtempo exploration with avant-garde sensibility; UK, likely late 70s/early 80s.",1978,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Wire Shock.mp3
Won't Give You Up,Tom Tom Club,Downtown Rockers,95.999237,2M,"Post-Disco; Funk-Rock; playful bass grooves, crisp percussion, quirky vocal interplay, danceable rhythm guitar; tropical-tinged downtown Manhattan art scene; New York, early 80s.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Won't Give You Up.mp3
You Could Be More as You Are,Saâda Bonaire,Saâda Bonaire,110.206467,2M,"Worldbeat; Synth-Funk; shimmering synths, punchy bass grooves, multicultural vocal harmonies, leftfield pop sensibility; cosmopolitan studio experimentation meets tropical dancefloor optimism; Germany, late 80s.",1984,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/You Could Be More as You Are.mp3
